杨伟杰,所在医院：广州韩妃整形美容医院,当前职务：副主任医师,从医时间：34年,擅长项目：鼻部整形,美体塑形,脂肪填充
杨连华,所在医院：杭州艺星医疗美容医院,当前职务：主任医师,从医时间：22年,擅长项目：乳房整形 乳房下垂矫正  女性乳房缩小   乳房缩小 隆胸 自体脂肪隆胸  假体隆胸 去副乳 手术去副乳   吸脂去副乳   切除法去副乳 乳头整形 乳头凹陷矫正   乳头缩小   乳头内陷矫正 胸部失败修复 胸部假体取出  隆胸修复  胸部失败修复
蒲小兵,所在医院：四川成都军大医学研究所附属医院整形美容科,当前职务：主治医师,从医时间：16年,擅长项目：魔力塑吸脂、曲线管理、自体脂肪面部轮廓塑形、无创面部精雕
宋建良,所在医院：杭州瑞丽医疗美容医院,当前职务：主任医师,从医时间：22年,擅长项目：眼角  开内眼角  双眼皮  切开法双眼皮   埋线双眼皮   卧蚕  注射玻尿酸营造卧蚕   注射自体脂肪营造卧蚕
姚明龙,所在医院：北京叶美人医疗美容门诊部,当前职务：医师,从医时间：36年,擅长项目：失败修复,胸部整形,私密整形
栗勇,所在医院：杭州美莱医疗美容医院,当前职务：主任医师,从医时间：30年,擅长项目：乳房整形 乳房下垂矫正  女性乳房缩小   乳房缩小 隆胸 自体脂肪隆胸  假体隆胸 去副乳 手术去副乳   吸脂去副乳   切除法去副乳 乳头整形 乳头凹陷矫正   乳头缩小   乳头内陷矫正 胸部失败修复 胸部假体取出  隆胸修复  胸部失败修复
陈林叶,所在医院：北京雅靓医疗美容医院,当前职务：医师,从医时间：22年,擅长项目：眼部整形,鼻部整形,面部轮廓
陈桂飞,所在医院：深圳妍熙医疗美容门诊部,当前职务：医师,从医时间：12年,擅长项目：鼻部整形,胸部整形,失败修复
姚建民,所在医院：杭州整形医院,当前职务：教授,从医时间：2021年,擅长项目：  整形、美容外科、手外科；如双眼皮，隆鼻术，隆胸术，乳房及阴茎、阴道的再造，全身各部先、后天所致各种畸形和功能障碍、器官再造，四肢、躯干的各种创伤修复，拇指、全鼻再造；断指、断鼻再植、手指、唇、腭裂畸形，手畸形，肌腱粘连，腹壁整形，吸脂术，脂粒移植隆胸术等。
胡朝辉,所在医院：南京康美医疗美容医院,当前职务： 副主任医师,从医时间：24年,擅长项目：丰臀提臀 假体丰臀  自体脂肪丰臀 瘦小腿 瘦小腿 纤腰 腹壁成形术 手臂 激光溶脂瘦手臂   冷冻脂肪瘦手臂  吸脂瘦手臂 肩膀 肉毒素瘦肩肌  肩部吸脂 小腿 注射肉毒素瘦小腿   小腿神经阻断术   吸脂瘦小腿 大腿 吸脂瘦大腿   激光溶脂瘦大腿   冷冻溶脂瘦大腿 腹部 吸脂瘦腰部   激光溶脂瘦腰部
张笑天,所在医院：北京圣嘉新医疗美容医院,当前职务：医师,从医时间：10年,擅长项目：V型脸 下颌角整形术  V-LINE瓜子脸手术   下巴   假体植入垫下巴   玻尿酸垫下巴   自体脂肪垫下巴   下巴截骨术 两鄂 下颚前凸  凸嘴   面部不对称 颧骨全弓 颧骨降低   玻尿酸丰苹果肌 瘦脸 注射肉毒素瘦脸  面部吸脂  激光溶脂  磨骨瘦脸 贵族手术 脸部自体脂肪移植  自体脂肪移植填充法令纹 太阳穴 自体脂肪丰太阳穴
